,Tweets,Source,Likes,RTs
172,"RT @TwitterID: Nah, yang satu ini khusus buat fans @yurayunita nih 👀

“Tutur ___ tak akan salah
Silakan pergi, ku tak ___ kalah”

#TweetYou…",Twitter for iPhone,0,56
173,"RT @andikirfannn: Proses memaafkan itu emng bikin lega."" 
@yurayunita @vindestwitt https://t.co/EbWqHS4jCk",Twitter for iPhone,0,10
174,"RT @andtydt: Waktu teteh @yurayunita mulai nyanyi tuh masih prapris gerimis, tapi yaudah karna teh yura udah mulai nyanyi ujan2an dikit ga…",Twitter for iPhone,0,10
175,@nindyags Samaaaa 🥺,Twitter for iPhone,21,0
176,Love language kamu apa?,Twitter for iPhone,733,53
177,RT @hallonic_: AKU KEMANA AJA BARU NONTON FULL ALBUM VIRTUAL CONCERT TUTUR BATINNYA YURA YUNITA 😭😭😭 BAGUS PARAHHHHH 👍👍👍👍👍👍👍😭😭😭🧡🧡🧡🧡🧡🧡 https:…,Twitter for iPhone,0,2
178,@refalhady @initiaraandini https://t.co/mHk5X8KNmZ,Twitter for iPhone,102,12
179,Full house!! 🙌🥹❤️🇲🇨 @JavaJazzFest #javajazz2022 https://t.co/GdCUkgP5Vu,Twitter for iPhone,169,20
180,"RT @andreaneysaa: big thanks to @yurayunita karena udah bikin nangis sepanjang show, akhirnya bisa ngeluarin semua emosi ini after a very s…",Twitter for iPhone,0,17
181,"RT @JavaJazzFest: @yurayunita has joined @pjmorton at the BNI Hall. Yes, you read that right, this collaboration is too good to be true!😍 #…",Twitter for iPhone,0,15
182,RT @sonofabiccc: AAAAAAAAAA YURA MUNCUL DI SHOWNYA PJ MORTON #JavaJazz2022 #BNIJavaJazz https://t.co/7SIp8CuvQ3,Twitter for iPhone,0,5
183,RT @PasukanPawkemon: @yurayunita bagus bangeeett penampilannya😭😭 https://t.co/rxt9xDVJIE,Twitter Web App,0,12
184,Monang,Twitter for iPhone,315,60
185,🇮🇩❤️ https://t.co/H71fotqqEW,Twitter for iPhone,1254,58
186,"RT @yourstruelie__: Depan stage banget bisa nonton @yurayunita , sampe pulang pulang nangis karna di notice dia HAHAHAHA tapi maaf bgt suar…",Twitter for iPhone,0,3
187,Jangan macem-macem kamu! Mau saya bawa ke meja makan? https://t.co/NUDEs78keB,Twitter for iPhone,550,33
188,See you 🤍 https://t.co/QeW0ZN6ID7,Twitter for iPhone,350,23
189,Kenapa belum tidur?,Twitter for iPhone,306,24
190,Ada yang mendengar untuk memahami. Ada juga yang mendengar hanya untuk menunggu kesempatannya berbicara.,Twitter for iPhone,28437,9168
191,Kira kira ada berapa banyak ya orang di Indonesia yang merasa “kesepian” ? Apakah kamu termasuk?,Twitter for iPhone,19569,2319
192,#EidMubarak Family #zoomchallenge 🌙🤍 https://t.co/FPuyNuoLsd,Twitter for iPhone,23682,3565
193,Selalu ingat kita pernah sembuh dari luka yang dulu bikin kita terpuruk. Berkali-kali kita pernah jatuh dan bangkit… https://t.co/1Nlm6TA1jD,Twitter for iPhone,38628,15708
194,Melepaskan itu sulit ya. Tapi ga bisa jadi diri sendiri saat sama dia pun lebih sulit lagi.,Twitter for iPhone,26611,6925
195,Tuhan maha tau yang terbaik buat aku. Selalu jadi pengingat bahwa semuanya akan selalu baik-baik saja,Twitter for iPhone,20915,8091
196,Rasa tenang mungkin belum juga kunjung datang tapi lagu-lagu yang bikin kamu tenang mungkin ada di playlist Tenangk… https://t.co/yucp3OwRZJ,Twitter Media Studio,66,6
197,"Kebenaran akan terdengar oleh telinga batinmu, terlihat oleh mata batinmu, dan terasa oleh rasa batinmu.",Twitter for iPhone,12905,3691
198,"Menuju Bandung, ga sabar ketemu @HipHipYURA 🙌",Twitter for iPhone,55,4
