,Unnamed: 0,Tweets,Source,Likes,RTs,step1,tokens,final_tokens,step2
13,13.0,Yang mau ayook… Ngga juga gapapa. Ngga akan pernah maksa 😊,Twitter for iPhone,12644.0,3094.0,yang mau ayook ngga juga gapapa ngga akan pernah maksa,"['yang', 'mau', 'ayook', 'ngga', 'juga', 'gapapa', 'ngga', 'akan', 'pernah', 'maksa']","['yang', 'mau', 'ayook', 'ngga', 'juga', 'gapapa', 'ngga', 'akan', 'pernah', 'maksa']",yang mau ayook ngga juga gapapa ngga akan pernah maksa
14,14.0,@SpotifyID Aku lanjutin ya https://t.co/ApH3qh04S5,Twitter for iPhone,19.0,2.0,spotifyid aku lanjutin ya coaphqhs,"['spotifyid', 'aku', 'lanjutin', 'ya', 'coaphqhs']","['spotifyid', 'aku', 'lanjutin', 'ya', 'coaphqhs']",spotifyid aku lanjutin ya coaphqhs
15,15.0,"Boleh ikut peluk juga gaaaa :,) https://t.co/xYErXkb2sz",Twitter for iPhone,137.0,8.0,boleh ikut peluk juga gaaaa co,"['boleh', 'ikut', 'peluk', 'juga', 'gaaaa', 'co']","['boleh', 'ikut', 'peluk', 'juga', 'gaaaa', 'co']",boleh ikut peluk juga gaaaa co
16,16.0,Khilaf aku :’) jam segini makan martabak telor &amp; tipker 🤤 Kok niqmat banget yaaaa,Twitter for iPhone,644.0,9.0,khilaf aku jam segini makan martabak telor amp tipker kok niqmat banget yaaaa,"['khilaf', 'aku', 'jam', 'segini', 'makan', 'martabak', 'telor', 'amp', 'tipker', 'kok', 'niqmat', 'banget', 'yaaaa']","['khilaf', 'aku', 'jam', 'segini', 'makan', 'martabak', 'telor', 'amp', 'tipker', 'kok', 'niqmat', 'banget', 'yaaaa']",khilaf aku jam segini makan martabak telor amp tipker kok niqmat banget yaaaa
17,17.0,RT @HipHipYURA: Jadwal teteh @yurayunita terupdate . Ada yang mau nonton bareng nggak hiphip ? https://t.co/baaEfvz5zN,Twitter Web App,0.0,5.0,hiphipyura jadwal teteh yurayunita terupdate ada yang mau nonton bareng nggak hiphip cobaaefvzzn,"['hiphipyura', 'jadwal', 'teteh', 'yurayunita', 'terupdate', 'ada', 'yang', 'mau', 'nonton', 'bareng', 'nggak', 'hiphip', 'cobaaefvzzn']","['hiphipyura', 'jadwal', 'teteh', 'yurayunita', 'terupdate', 'ada', 'yang', 'mau', 'nonton', 'bareng', 'nggak', 'hiphip', 'cobaaefvzzn']",hiphipyura jadwal teteh yurayunita terupdate ada yang mau nonton bareng nggak hiphip cobaaefvzzn
18,18.0,"Rest in Love, Mas @rezagunawan 🤍",Twitter for iPhone,1457.0,140.0,rest in love mas rezagunawan,"['rest', 'in', 'love', 'mas', 'rezagunawan']","['rest', 'in', 'love', 'mas', 'rezagunawan']",rest in love mas rezagunawan
19,19.0,RT @kegentagang: Tiktok Mama Lovy very very comforting. Selalu betah nontonin semua videonya 🥰 they deserve all the love and happiness in t…,Twitter for iPhone,0.0,5.0,kegentagang tiktok mama lovy very very comforting selalu betah nontonin semua videonya they deserve all the love and happiness in,"['kegentagang', 'tiktok', 'mama', 'lovy', 'very', 'very', 'comforting', 'selalu', 'betah', 'nontonin', 'semua', 'videonya', 'they', 'deserve', 'all', 'the', 'love', 'and', 'happiness', 'in']","['kegentagang', 'tiktok', 'mama', 'lovy', 'very', 'very', 'comforting', 'selalu', 'betah', 'nontonin', 'semua', 'videonya', 'they', 'deserve', 'all', 'the', 'love', 'and', 'happiness', 'in']",kegentagang tiktok mama lovy very very comforting selalu betah nontonin semua videonya they deserve all the love and happiness in
21,21.0,Spotify canvas dunia tipu-tipu yang baru lumayan bikin haru. Cerita tentang Lovy yang hebat dan Mamanya yang kuat deserved all the love 🤍🤍🤍,Twitter for iPhone,3629.0,125.0,spotify canvas dunia tipu tipu yang baru lumayan bikin haru cerita tentang lovy yang hebat dan mamanya yang kuat deserved all the love,"['spotify', 'canvas', 'dunia', 'tipu', 'tipu', 'yang', 'baru', 'lumayan', 'bikin', 'haru', 'cerita', 'tentang', 'lovy', 'yang', 'hebat', 'dan', 'mamanya', 'yang', 'kuat', 'deserved', 'all', 'the', 'love']","['spotify', 'canvas', 'dunia', 'tipu', 'tipu', 'yang', 'baru', 'lumayan', 'bikin', 'haru', 'cerita', 'tentang', 'lovy', 'yang', 'hebat', 'dan', 'mamanya', 'yang', 'kuat', 'deserved', 'all', 'the', 'love']",spotify canvas dunia tipu tipu yang baru lumayan bikin haru cerita tentang lovy yang hebat dan mamanya yang kuat deserved all the love
22,22.0,"Besok, manggung di intimate concert. Penontonnya ga banyak, dan semuanya perempuan. Ga sabaaarrr 💗💗💗",Twitter for iPhone,1732.0,23.0,besok manggung di intimate concert penontonnya ga banyak dan semuanya perempuan ga sabaaarrr,"['besok', 'manggung', 'di', 'intimate', 'concert', 'penontonnya', 'ga', 'banyak', 'dan', 'semuanya', 'perempuan', 'ga', 'sabaaarrr']","['besok', 'manggung', 'di', 'intimate', 'concert', 'penontonnya', 'ga', 'banyak', 'dan', 'semuanya', 'perempuan', 'ga', 'sabaaarrr']",besok manggung di intimate concert penontonnya ga banyak dan semuanya perempuan ga sabaaarrr
23,23.0,"Terima kasih @teddyadhitya. Setelah sekian lama, akhirnya lagu ini dinyanyikan berdua lagi. Rasanya seperti mengoba… https://t.co/iqgwsB2gzv",Twitter Media Studio,734.0,108.0,terima kasih teddyadhitya setelah sekian lama akhirnya lagu ini dinyanyikan berdua lagi rasanya seperti mengoba coiqgwsbgzv,"['terima', 'kasih', 'teddyadhitya', 'setelah', 'sekian', 'lama', 'akhirnya', 'lagu', 'ini', 'dinyanyikan', 'berdua', 'lagi', 'rasanya', 'seperti', 'mengoba', 'coiqgwsbgzv']","['terima', 'kasih', 'teddyadhitya', 'setelah', 'sekian', 'lama', 'akhirnya', 'lagu', 'ini', 'dinyanyikan', 'berdua', 'lagi', 'rasanya', 'seperti', 'mengoba', 'coiqgwsbgzv']",terima kasih teddyadhitya setelah sekian lama akhirnya lagu ini dinyanyikan berdua lagi rasanya seperti mengoba coiqgwsbgzv
24,24.0,Drop disini video kamu yang mau aku jadiin spotify canvas dunia tipu-tipu 👇,Twitter for iPhone,174.0,5.0,drop disini video kamu yang mau aku jadiin spotify canvas dunia tipu tipu,"['drop', 'disini', 'video', 'kamu', 'yang', 'mau', 'aku', 'jadiin', 'spotify', 'canvas', 'dunia', 'tipu', 'tipu']","['drop', 'disini', 'video', 'kamu', 'yang', 'mau', 'aku', 'jadiin', 'spotify', 'canvas', 'dunia', 'tipu', 'tipu']",drop disini video kamu yang mau aku jadiin spotify canvas dunia tipu tipu
25,25.0,Banyak yang tanya besok besok siapa lagi. Ya belum tau. Pokoknya nanti aku akan ubah Spotify canvas Dunia Tipu-Tipu… https://t.co/fmgYJ2mTJE,Twitter for iPhone,442.0,13.0,banyak yang tanya besok besok siapa lagi ya belum tau pokoknya nanti aku akan ubah spotify canvas dunia tipu tipu cofmgyjmtje,"['banyak', 'yang', 'tanya', 'besok', 'besok', 'siapa', 'lagi', 'ya', 'belum', 'tau', 'pokoknya', 'nanti', 'aku', 'akan', 'ubah', 'spotify', 'canvas', 'dunia', 'tipu', 'tipu', 'cofmgyjmtje']","['banyak', 'yang', 'tanya', 'besok', 'besok', 'siapa', 'lagi', 'ya', 'belum', 'tau', 'pokoknya', 'nanti', 'aku', 'akan', 'ubah', 'spotify', 'canvas', 'dunia', 'tipu', 'tipu', 'cofmgyjmtje']",banyak yang tanya besok besok siapa lagi ya belum tau pokoknya nanti aku akan ubah spotify canvas dunia tipu tipu cofmgyjmtje
26,26.0,@cursedkidd @kristoimmanuel kmu tmpat aku brtumpu,Twitter for iPhone,1678.0,52.0,cursedkidd kristoimmanuel kmu tmpat aku brtumpu,"['cursedkidd', 'kristoimmanuel', 'kmu', 'tmpat', 'aku', 'brtumpu']","['cursedkidd', 'kristoimmanuel', 'kmu', 'tmpat', 'aku', 'brtumpu']",cursedkidd kristoimmanuel kmu tmpat aku brtumpu
