,Unnamed: 0,Tweets,Source,Likes,RTs,step1,tokens,final_tokens,step2
55,55.0,"Part 2, lanjutan dari apa yang telah terjadi di video musik #DuniaTipuTipu

Mengutarakan yang belum terucap sebelum… https://t.co/JUnXufwL5o",Twitter for iPhone,228.0,45.0,part   lanjutan dari apa yang telah terjadi di video musik mengutarakan yang belum terucap sebelum cojun,"['part', 'lanjutan', 'dari', 'apa', 'yang', 'telah', 'terjadi', 'di', 'video', 'musik', 'mengutarakan', 'yang', 'belum', 'terucap', 'sebelum', 'cojun']","['part', 'lanjutan', 'dari', 'apa', 'yang', 'telah', 'terjadi', 'di', 'video', 'musik', 'mengutarakan', 'yang', 'belum', 'terucap', 'sebelum', 'cojun']",part lanjutan dari apa yang telah terjadi di video musik mengutarakan yang belum terucap sebelum cojun
56,56.0,@senang2fest Ga sabar juga mau nyanyi bareng langsung sama teman teman disana! 🙌,Twitter for iPhone,2.0,2.0,senangfest ga sabar juga mau nyanyi bareng langsung sama teman teman disana,"['senangfest', 'ga', 'sabar', 'juga', 'mau', 'nyanyi', 'bareng', 'langsung', 'sama', 'teman', 'teman', 'disana']","['senangfest', 'ga', 'sabar', 'juga', 'mau', 'nyanyi', 'bareng', 'langsung', 'sama', 'teman', 'teman', 'disana']",senangfest ga sabar juga mau nyanyi bareng langsung sama teman teman disana
57,57.0,"Lagu dan album ini sebuah persembahan terima kasih untuk mereka yang selalu ada, yang bersahabat dengan lebih kuran… https://t.co/p4wKtFgv44",Twitter for iPhone,179.0,30.0,lagu dan album ini sebuah persembahan terima kasih untuk mereka yang selalu ada yang bersahabat dengan lebih kuran copwktfgv,"['lagu', 'dan', 'album', 'ini', 'sebuah', 'persembahan', 'terima', 'kasih', 'untuk', 'mereka', 'yang', 'selalu', 'ada', 'yang', 'bersahabat', 'dengan', 'lebih', 'kuran', 'copwktfgv']","['lagu', 'dan', 'album', 'ini', 'sebuah', 'persembahan', 'terima', 'kasih', 'untuk', 'mereka', 'yang', 'selalu', 'ada', 'yang', 'bersahabat', 'dengan', 'lebih', 'kuran', 'copwktfgv']",lagu dan album ini sebuah persembahan terima kasih untuk mereka yang selalu ada yang bersahabat dengan lebih kuran copwktfgv
58,58.0,"Dunia kadang penuh tipu-tipu, tapi ketika kita punya seseorang untuk bertumpu, jadi pegangan, jadi rumah, jadi temp… https://t.co/p6oXQJc43H",Twitter for iPhone,1108.0,631.0,dunia kadang penuh tipu tipu tapi ketika kita punya seseorang untuk bertumpu jadi pegangan jadi rumah jadi temp copo,"['dunia', 'kadang', 'penuh', 'tipu', 'tipu', 'tapi', 'ketika', 'kita', 'punya', 'seseorang', 'untuk', 'bertumpu', 'jadi', 'pegangan', 'jadi', 'rumah', 'jadi', 'temp', 'copo']","['dunia', 'kadang', 'penuh', 'tipu', 'tipu', 'tapi', 'ketika', 'kita', 'punya', 'seseorang', 'untuk', 'bertumpu', 'jadi', 'pegangan', 'jadi', 'rumah', 'jadi', 'temp', 'copo']",dunia kadang penuh tipu tipu tapi ketika kita punya seseorang untuk bertumpu jadi pegangan jadi rumah jadi temp copo
59,59.0,"Sampul album #TuturBatin adalah tangkapan gambar dari kamera pribadi di kala proses lebih mengenal diri, menerima d… https://t.co/8WOeWBdJvL",Twitter for iPhone,67.0,2.0,sampul album adalah tangkapan gambar dari kamera pribadi di kala proses lebih mengenal diri menerima cowoewbdjvl,"['sampul', 'album', 'adalah', 'tangkapan', 'gambar', 'dari', 'kamera', 'pribadi', 'di', 'kala', 'proses', 'lebih', 'mengenal', 'diri', 'menerima', 'cowoewbdjvl']","['sampul', 'album', 'adalah', 'tangkapan', 'gambar', 'dari', 'kamera', 'pribadi', 'di', 'kala', 'proses', 'lebih', 'mengenal', 'diri', 'menerima', 'cowoewbdjvl']",sampul album adalah tangkapan gambar dari kamera pribadi di kala proses lebih mengenal diri menerima cowoewbdjvl
60,60.0,"Lagu ini juga jadi urutan pertama dari rangkaian 11 lagu yang ada di album ke-3 ku, Tutur Batin. Berperan menjadi p… https://t.co/JTTbcex1Vr",Twitter for iPhone,43.0,1.0,lagu ini juga jadi urutan pertama dari rangkaian   lagu yang ada di album ke   ku tutur batin berperan menjadi cojttbce,"['lagu', 'ini', 'juga', 'jadi', 'urutan', 'pertama', 'dari', 'rangkaian', 'lagu', 'yang', 'ada', 'di', 'album', 'ke', 'ku', 'tutur', 'batin', 'berperan', 'menjadi', 'cojttbce']","['lagu', 'ini', 'juga', 'jadi', 'urutan', 'pertama', 'dari', 'rangkaian', 'lagu', 'yang', 'ada', 'di', 'album', 'ke', 'ku', 'tutur', 'batin', 'berperan', 'menjadi', 'cojttbce']",lagu ini juga jadi urutan pertama dari rangkaian lagu yang ada di album ke ku tutur batin berperan menjadi cojttbce
61,61.0,Demo version lagu #DuniaTipuTipu. Ditulis dan direkam seadanya tahun lalu beberapa hari setelah ulang tahunku. https://t.co/GmbDDdinpO,Twitter Media Studio,555.0,66.0,demo version lagu ditulis dan direkam seadanya tahun lalu beberapa hari setelah ulang tahunku cogmbdddinpo,"['demo', 'version', 'lagu', 'ditulis', 'dan', 'direkam', 'seadanya', 'tahun', 'lalu', 'beberapa', 'hari', 'setelah', 'ulang', 'tahunku', 'cogmbdddinpo']","['demo', 'version', 'lagu', 'ditulis', 'dan', 'direkam', 'seadanya', 'tahun', 'lalu', 'beberapa', 'hari', 'setelah', 'ulang', 'tahunku', 'cogmbdddinpo']",demo version lagu ditulis dan direkam seadanya tahun lalu beberapa hari setelah ulang tahunku cogmbdddinpo
63,63.0,@eliensambat hmmm belum dengerin dunia tipu-tipu ya km,Twitter for iPhone,1.0,0.0,eliensambat hmmm belum dengerin dunia tipu tipu ya km,"['eliensambat', 'hmmm', 'belum', 'dengerin', 'dunia', 'tipu', 'tipu', 'ya', 'km']","['eliensambat', 'hmmm', 'belum', 'dengerin', 'dunia', 'tipu', 'tipu', 'ya', 'km']",eliensambat hmmm belum dengerin dunia tipu tipu ya km
64,64.0,Ku tertawa tanpa tapi. Tetaplah seperti ini~,Twitter for iPhone,1178.0,168.0,ku tertawa tanpa tapi tetaplah seperti ini,"['ku', 'tertawa', 'tanpa', 'tapi', 'tetaplah', 'seperti', 'ini']","['ku', 'tertawa', 'tanpa', 'tapi', 'tetaplah', 'seperti', 'ini']",ku tertawa tanpa tapi tetaplah seperti ini
65,65.0,"Aku melihat pernikahan itu komposisinya 10% cintah, 90% lelucon aneh tiap hari.",Twitter for iPhone,36830.0,5502.0,aku melihat pernikahan itu komposisinya   cintah   lelucon aneh tiap hari,"['aku', 'melihat', 'pernikahan', 'itu', 'komposisinya', 'cintah', 'lelucon', 'aneh', 'tiap', 'hari']","['aku', 'melihat', 'pernikahan', 'itu', 'komposisinya', 'cintah', 'lelucon', 'aneh', 'tiap', 'hari']",aku melihat pernikahan itu komposisinya cintah lelucon aneh tiap hari
66,66.0,RT @katsumatcha: Yura Yunani nih @yurayunita https://t.co/pS1gTRpDsp,Twitter for iPhone,0.0,11.0,katsumatcha yura yunani nih yurayunita copsgtrpdsp,"['katsumatcha', 'yura', 'yunani', 'nih', 'yurayunita', 'copsgtrpdsp']","['katsumatcha', 'yura', 'yunani', 'nih', 'yurayunita', 'copsgtrpdsp']",katsumatcha yura yunani nih yurayunita copsgtrpdsp
67,67.0,RT @gaby_sumaraw: @yurayunita Epic Closing Asian Para Games Merakit+fireworks 🎆 kayaknya merakit Live hari ini terbaik &amp; super indah @yuray…,Twitter for iPhone,0.0,22.0,gaby_sumaraw yurayunita epic closing asian para games merakitfireworks kayaknya merakit live hari ini terbaik amp super indah yuray,"['gaby_sumaraw', 'yurayunita', 'epic', 'closing', 'asian', 'para', 'games', 'merakitfireworks', 'kayaknya', 'merakit', 'live', 'hari', 'ini', 'terbaik', 'amp', 'super', 'indah', 'yuray']","['gaby_sumaraw', 'yurayunita', 'epic', 'closing', 'asian', 'para', 'games', 'merakitfireworks', 'kayaknya', 'merakit', 'live', 'hari', 'ini', 'terbaik', 'amp', 'super', 'indah', 'yuray']",gaby_sumaraw yurayunita epic closing asian para games merakitfireworks kayaknya merakit live hari ini terbaik amp super indah yuray
68,68.0,"@jsaidwortell Masih aja :,)",Twitter for iPhone,4.0,1.0,jsaidwortell masih aja,"['jsaidwortell', 'masih', 'aja']","['jsaidwortell', 'masih', 'aja']",jsaidwortell masih aja
69,69.0,Sudah tiba di Solo untuk Closing Ceremony Asean Para Games nanti malam 😊,Twitter for iPhone,1320.0,28.0,sudah tiba di solo untuk closing ceremony asean para games nanti malam,"['sudah', 'tiba', 'di', 'solo', 'untuk', 'closing', 'ceremony', 'asean', 'para', 'games', 'nanti', 'malam']","['sudah', 'tiba', 'di', 'solo', 'untuk', 'closing', 'ceremony', 'asean', 'para', 'games', 'nanti', 'malam']",sudah tiba di solo untuk closing ceremony asean para games nanti malam
71,71.0,Tidak setiap saat saling bertukar kabar tapi tau kalau masing-masing dari kita selalu ada untuk satu sama lain.,Twitter for iPhone,47518.0,14151.0,tidak setiap saat saling bertukar kabar tapi tau kalau masing masing dari kita selalu ada untuk satu sama lain,"['tidak', 'setiap', 'saat', 'saling', 'bertukar', 'kabar', 'tapi', 'tau', 'kalau', 'masing', 'masing', 'dari', 'kita', 'selalu', 'ada', 'untuk', 'satu', 'sama', 'lain']","['tidak', 'setiap', 'saat', 'saling', 'bertukar', 'kabar', 'tapi', 'tau', 'kalau', 'masing', 'masing', 'dari', 'kita', 'selalu', 'ada', 'untuk', 'satu', 'sama', 'lain']",tidak setiap saat saling bertukar kabar tapi tau kalau masing masing dari kita selalu ada untuk satu sama lain
72,72.0,Siapa yang terlintas di kepalamu waktu dengerin #DuniaTipuTipu?,Twitter for iPhone,12746.0,734.0,siapa yang terlintas di kepalamu waktu dengerin,"['siapa', 'yang', 'terlintas', 'di', 'kepalamu', 'waktu', 'dengerin']","['siapa', 'yang', 'terlintas', 'di', 'kepalamu', 'waktu', 'dengerin']",siapa yang terlintas di kepalamu waktu dengerin
73,73.0,Nangis banget liat ada yang recreate video musik dunia tipu tipu sama pasangannya 😭 https://t.co/fcAH7aoP2I,Twitter Media Studio,4007.0,603.0,nangis banget liat ada yang recreate video musik dunia tipu tipu sama pasangannya cofcahaopi,"['nangis', 'banget', 'liat', 'ada', 'yang', 'recreate', 'video', 'musik', 'dunia', 'tipu', 'tipu', 'sama', 'pasangannya', 'cofcahaopi']","['nangis', 'banget', 'liat', 'ada', 'yang', 'recreate', 'video', 'musik', 'dunia', 'tipu', 'tipu', 'sama', 'pasangannya', 'cofcahaopi']",nangis banget liat ada yang recreate video musik dunia tipu tipu sama pasangannya cofcahaopi
74,74.0,Terima kasih 💗💗💗,Twitter for iPhone,109.0,3.0,terima kasih,"['terima', 'kasih']","['terima', 'kasih']",terima kasih
75,75.0,"2 hari, 2jt views, #1 di youtube trending for music. Masih ga nyangka 😭

https://t.co/qKGOm5Twyj https://t.co/5plzcvqWYk",Twitter for iPhone,1747.0,109.0,  hari  jt views di youtube trending for music masih ga nyangka coqkgomtwyj coplzcvqwyk,"['hari', 'jt', 'views', 'di', 'youtube', 'trending', 'for', 'music', 'masih', 'ga', 'nyangka', 'coqkgomtwyj', 'coplzcvqwyk']","['hari', 'jt', 'views', 'di', 'youtube', 'trending', 'for', 'music', 'masih', 'ga', 'nyangka', 'coqkgomtwyj', 'coplzcvqwyk']",hari jt views di youtube trending for music masih ga nyangka coqkgomtwyj coplzcvqwyk
76,76.0,"@ikanatassa Kak Ika, terima kasih 🥹",Twitter for iPhone,5.0,0.0,ikanatassa kak ika terima kasih,"['ikanatassa', 'kak', 'ika', 'terima', 'kasih']","['ikanatassa', 'kak', 'ika', 'terima', 'kasih']",ikanatassa kak ika terima kasih
77,77.0,"RT @vlyyy_____: Dari kemarin masih nahan untuk liat MV nya teh Yura yunita - Dunia Tipu Tipu , ini. tapi hari ini coba nonton, dan alhasil…",Twitter for iPhone,0.0,3.0,vlyyy_____ dari kemarin masih nahan untuk liat mv nya teh yura yunita dunia tipu tipu ini tapi hari ini coba nonton dan alhasil,"['vlyyy_____', 'dari', 'kemarin', 'masih', 'nahan', 'untuk', 'liat', 'mv', 'nya', 'teh', 'yura', 'yunita', 'dunia', 'tipu', 'tipu', 'ini', 'tapi', 'hari', 'ini', 'coba', 'nonton', 'dan', 'alhasil']","['vlyyy_____', 'dari', 'kemarin', 'masih', 'nahan', 'untuk', 'liat', 'mv', 'nya', 'teh', 'yura', 'yunita', 'dunia', 'tipu', 'tipu', 'ini', 'tapi', 'hari', 'ini', 'coba', 'nonton', 'dan', 'alhasil']",vlyyy_____ dari kemarin masih nahan untuk liat mv nya teh yura yunita dunia tipu tipu ini tapi hari ini coba nonton dan alhasil
78,78.0,"RT @selplopppp: baru kali ini dengerin lagu pertama kali langsung nangis, gila keren banget lagunya yura yunita dunia tipu-tipu. nangis kej…",Twitter for iPhone,0.0,32.0,selplopppp baru kali ini dengerin lagu pertama kali langsung nangis gila keren banget lagunya yura yunita dunia tipu tipu nangis kej,"['selplopppp', 'baru', 'kali', 'ini', 'dengerin', 'lagu', 'pertama', 'kali', 'langsung', 'nangis', 'gila', 'keren', 'banget', 'lagunya', 'yura', 'yunita', 'dunia', 'tipu', 'tipu', 'nangis', 'kej']","['selplopppp', 'baru', 'kali', 'ini', 'dengerin', 'lagu', 'pertama', 'kali', 'langsung', 'nangis', 'gila', 'keren', 'banget', 'lagunya', 'yura', 'yunita', 'dunia', 'tipu', 'tipu', 'nangis', 'kej']",selplopppp baru kali ini dengerin lagu pertama kali langsung nangis gila keren banget lagunya yura yunita dunia tipu tipu nangis kej
79,79.0,Salam untuk Ibu yaaaa Yaya 🤍🙏🏻 https://t.co/zKCHoQBU6t,Twitter for iPhone,87.0,3.0,salam untuk ibu yaaaa yaya cozkchoqbut,"['salam', 'untuk', 'ibu', 'yaaaa', 'yaya', 'cozkchoqbut']","['salam', 'untuk', 'ibu', 'yaaaa', 'yaya', 'cozkchoqbut']",salam untuk ibu yaaaa yaya cozkchoqbut
80,80.0,1 juta lebih dalam 1 hari. Aku masih memproses berjuta rasa yang muncul dalam beberapa hari terakhir ini. Rasa yang… https://t.co/n5QjmdVWKr,Twitter for iPhone,27139.0,2367.0,  juta lebih dalam   hari aku masih memproses berjuta rasa yang muncul dalam beberapa hari terakhir ini rasa yang conqjmdvwkr,"['juta', 'lebih', 'dalam', 'hari', 'aku', 'masih', 'memproses', 'berjuta', 'rasa', 'yang', 'muncul', 'dalam', 'beberapa', 'hari', 'terakhir', 'ini', 'rasa', 'yang', 'conqjmdvwkr']","['juta', 'lebih', 'dalam', 'hari', 'aku', 'masih', 'memproses', 'berjuta', 'rasa', 'yang', 'muncul', 'dalam', 'beberapa', 'hari', 'terakhir', 'ini', 'rasa', 'yang', 'conqjmdvwkr']",juta lebih dalam hari aku masih memproses berjuta rasa yang muncul dalam beberapa hari terakhir ini rasa yang conqjmdvwkr
81,81.0,"RT @abigailimuriaa: Dunia Tipu-Tipu bagus banget. Simpel, intimate, ngebekas, pesennya nancep. Salah satu musik video terbaik yang pernah g…",Twitter for iPhone,0.0,11.0,abigailimuriaa dunia tipu tipu bagus banget simpel intimate ngebekas pesennya nancep salah satu musik video terbaik yang pernah,"['abigailimuriaa', 'dunia', 'tipu', 'tipu', 'bagus', 'banget', 'simpel', 'intimate', 'ngebekas', 'pesennya', 'nancep', 'salah', 'satu', 'musik', 'video', 'terbaik', 'yang', 'pernah']","['abigailimuriaa', 'dunia', 'tipu', 'tipu', 'bagus', 'banget', 'simpel', 'intimate', 'ngebekas', 'pesennya', 'nancep', 'salah', 'satu', 'musik', 'video', 'terbaik', 'yang', 'pernah']",abigailimuriaa dunia tipu tipu bagus banget simpel intimate ngebekas pesennya nancep salah satu musik video terbaik yang pernah
82,82.0,RT @anjaswords: Lagu Dunia Tipu-Tipu - Yura Yunita mengajarkan tentang pentingnya punya seseorang mengerti baik buruk tentang kita. Entah i…,Twitter for iPhone,0.0,15530.0,anjaswords lagu dunia tipu tipu yura yunita mengajarkan tentang pentingnya punya seseorang mengerti baik buruk tentang kita entah,"['anjaswords', 'lagu', 'dunia', 'tipu', 'tipu', 'yura', 'yunita', 'mengajarkan', 'tentang', 'pentingnya', 'punya', 'seseorang', 'mengerti', 'baik', 'buruk', 'tentang', 'kita', 'entah']","['anjaswords', 'lagu', 'dunia', 'tipu', 'tipu', 'yura', 'yunita', 'mengajarkan', 'tentang', 'pentingnya', 'punya', 'seseorang', 'mengerti', 'baik', 'buruk', 'tentang', 'kita', 'entah']",anjaswords lagu dunia tipu tipu yura yunita mengajarkan tentang pentingnya punya seseorang mengerti baik buruk tentang kita entah
83,83.0,"RT @srytinuragg: Denger lagu nya teh yura yg “dunia tipu-tipu” makin sayang banget sama orang-orang yg selalu baik, ada buat gue. Dan emang…",Twitter for iPhone,0.0,183.0,srytinuragg denger lagu nya teh yura yg dunia tipu tipu makin sayang banget sama orang orang yg selalu baik ada buat gue dan emang,"['srytinuragg', 'denger', 'lagu', 'nya', 'teh', 'yura', 'yg', 'dunia', 'tipu', 'tipu', 'makin', 'sayang', 'banget', 'sama', 'orang', 'orang', 'yg', 'selalu', 'baik', 'ada', 'buat', 'gue', 'dan', 'emang']","['srytinuragg', 'denger', 'lagu', 'nya', 'teh', 'yura', 'yg', 'dunia', 'tipu', 'tipu', 'makin', 'sayang', 'banget', 'sama', 'orang', 'orang', 'yg', 'selalu', 'baik', 'ada', 'buat', 'gue', 'dan', 'emang']",srytinuragg denger lagu nya teh yura yg dunia tipu tipu makin sayang banget sama orang orang yg selalu baik ada buat gue dan emang
84,84.0,"RT @tmrnrzkr: Dengerin duniatiputipu rasanya mau melukin keluarga, pasangan, sahabat.  U kno who u are, kita ga selalu bareng bareng but on…",Twitter for iPhone,0.0,198.0,tmrnrzkr dengerin duniatiputipu rasanya mau melukin keluarga pasangan sahabat kno who are kita ga selalu bareng bareng but on,"['tmrnrzkr', 'dengerin', 'duniatiputipu', 'rasanya', 'mau', 'melukin', 'keluarga', 'pasangan', 'sahabat', 'kno', 'who', 'are', 'kita', 'ga', 'selalu', 'bareng', 'bareng', 'but', 'on']","['tmrnrzkr', 'dengerin', 'duniatiputipu', 'rasanya', 'mau', 'melukin', 'keluarga', 'pasangan', 'sahabat', 'kno', 'who', 'are', 'kita', 'ga', 'selalu', 'bareng', 'bareng', 'but', 'on']",tmrnrzkr dengerin duniatiputipu rasanya mau melukin keluarga pasangan sahabat kno who are kita ga selalu bareng bareng but on
85,85.0,RT @gulaagulali02: Nangis denger lagunya 😭😭😭 suami yg lagi kerja dan kebetulan dengerin lagu ini juga karena deketan tiba2 langsung meluk .…,Twitter for iPhone,0.0,1.0,gulaagulali nangis denger lagunya suami yg lagi kerja dan kebetulan dengerin lagu ini juga karena deketan tiba langsung meluk,"['gulaagulali', 'nangis', 'denger', 'lagunya', 'suami', 'yg', 'lagi', 'kerja', 'dan', 'kebetulan', 'dengerin', 'lagu', 'ini', 'juga', 'karena', 'deketan', 'tiba', 'langsung', 'meluk']","['gulaagulali', 'nangis', 'denger', 'lagunya', 'suami', 'yg', 'lagi', 'kerja', 'dan', 'kebetulan', 'dengerin', 'lagu', 'ini', 'juga', 'karena', 'deketan', 'tiba', 'langsung', 'meluk']",gulaagulali nangis denger lagunya suami yg lagi kerja dan kebetulan dengerin lagu ini juga karena deketan tiba langsung meluk
86,86.0,"RT @shelmashalindri: Ku kira biasa aja, makanya ku tonton sambil sarapan dan tanpa persiapan mental, persiapannya cuma ngerekam reaksi aja.…",Twitter for iPhone,0.0,9.0,shelmashalindri ku kira biasa aja makanya ku tonton sambil sarapan dan tanpa persiapan mental persiapannya cuma ngerekam reaksi aja,"['shelmashalindri', 'ku', 'kira', 'biasa', 'aja', 'makanya', 'ku', 'tonton', 'sambil', 'sarapan', 'dan', 'tanpa', 'persiapan', 'mental', 'persiapannya', 'cuma', 'ngerekam', 'reaksi', 'aja']","['shelmashalindri', 'ku', 'kira', 'biasa', 'aja', 'makanya', 'ku', 'tonton', 'sambil', 'sarapan', 'dan', 'tanpa', 'persiapan', 'mental', 'persiapannya', 'cuma', 'ngerekam', 'reaksi', 'aja']",shelmashalindri ku kira biasa aja makanya ku tonton sambil sarapan dan tanpa persiapan mental persiapannya cuma ngerekam reaksi aja
87,87.0,"Ragam hubungan, di satu ruang, tanpa kata, hanya mata bicara. Semua begitu nyata. https://t.co/qKGOm5Twyj Video Musik #DuniaTipuTipu",Twitter for iPhone,2167.0,413.0,ragam hubungan di satu ruang tanpa kata hanya mata bicara semua begitu nyata coqkgomtwyj video musik,"['ragam', 'hubungan', 'di', 'satu', 'ruang', 'tanpa', 'kata', 'hanya', 'mata', 'bicara', 'semua', 'begitu', 'nyata', 'coqkgomtwyj', 'video', 'musik']","['ragam', 'hubungan', 'di', 'satu', 'ruang', 'tanpa', 'kata', 'hanya', 'mata', 'bicara', 'semua', 'begitu', 'nyata', 'coqkgomtwyj', 'video', 'musik']",ragam hubungan di satu ruang tanpa kata hanya mata bicara semua begitu nyata coqkgomtwyj video musik
88,88.0,Hatiku udah ga sanggup lagi. Banyak sekali yang bikin nangis hari ini 🥺,Twitter for iPhone,31475.0,5161.0,hatiku udah ga sanggup lagi banyak sekali yang bikin nangis hari ini,"['hatiku', 'udah', 'ga', 'sanggup', 'lagi', 'banyak', 'sekali', 'yang', 'bikin', 'nangis', 'hari', 'ini']","['hatiku', 'udah', 'ga', 'sanggup', 'lagi', 'banyak', 'sekali', 'yang', 'bikin', 'nangis', 'hari', 'ini']",hatiku udah ga sanggup lagi banyak sekali yang bikin nangis hari ini
89,89.0,"RT @sieniiiniih: Dari lagu ini kita bisa belajar untuk lebih menghargai segala pemberian yang tuhan berikan sama kita, salah satunya adalah…",Twitter for iPhone,0.0,401.0,sieniiiniih dari lagu ini kita bisa belajar untuk lebih menghargai segala pemberian yang tuhan berikan sama kita salah satunya adalah,"['sieniiiniih', 'dari', 'lagu', 'ini', 'kita', 'bisa', 'belajar', 'untuk', 'lebih', 'menghargai', 'segala', 'pemberian', 'yang', 'tuhan', 'berikan', 'sama', 'kita', 'salah', 'satunya', 'adalah']","['sieniiiniih', 'dari', 'lagu', 'ini', 'kita', 'bisa', 'belajar', 'untuk', 'lebih', 'menghargai', 'segala', 'pemberian', 'yang', 'tuhan', 'berikan', 'sama', 'kita', 'salah', 'satunya', 'adalah']",sieniiiniih dari lagu ini kita bisa belajar untuk lebih menghargai segala pemberian yang tuhan berikan sama kita salah satunya adalah
90,90.0,"Jam 8 malam ini. 
Video Musik #DuniaTipuTipu 👀
 https://t.co/qKGOm5Twyj https://t.co/bPaSaV3eAP",Twitter for iPhone,1062.0,229.0,jam   malam ini video musik coqkgomtwyj cobpasaveap,"['jam', 'malam', 'ini', 'video', 'musik', 'coqkgomtwyj', 'cobpasaveap']","['jam', 'malam', 'ini', 'video', 'musik', 'coqkgomtwyj', 'cobpasaveap']",jam malam ini video musik coqkgomtwyj cobpasaveap
91,91.0,Yuk buka Resso nya sekarang sambil nunggu video musik #DuniaTipuTipu  👀 https://t.co/SeArl1Bpiz,Twitter for iPhone,44.0,1.0,yuk buka resso nya sekarang sambil nunggu video musik cosearlbpiz,"['yuk', 'buka', 'resso', 'nya', 'sekarang', 'sambil', 'nunggu', 'video', 'musik', 'cosearlbpiz']","['yuk', 'buka', 'resso', 'nya', 'sekarang', 'sambil', 'nunggu', 'video', 'musik', 'cosearlbpiz']",yuk buka resso nya sekarang sambil nunggu video musik cosearlbpiz
92,92.0,Cosplay jadi mighty thor ⚡️ https://t.co/9D22hK2hH8,Twitter for iPhone,2585.0,111.0,cosplay jadi mighty thor codhkhh,"['cosplay', 'jadi', 'mighty', 'thor', 'codhkhh']","['cosplay', 'jadi', 'mighty', 'thor', 'codhkhh']",cosplay jadi mighty thor codhkhh
93,93.0,#NewProfilePic 🤍 Menyambut Video Musik #DuniaTipuTipu 27 Juli 2022 https://t.co/XCdBX5rPmQ,Twitter for iPhone,944.0,47.0,menyambut video musik   juli   co,"['menyambut', 'video', 'musik', 'juli', 'co']","['menyambut', 'video', 'musik', 'juli', 'co']",menyambut video musik juli co
94,94.0,@mazzini_gsp Adaaaa! Gemes 💚,Twitter for iPhone,23.0,0.0,mazzini_gsp adaaaa gemes,"['mazzini_gsp', 'adaaaa', 'gemes']","['mazzini_gsp', 'adaaaa', 'gemes']",mazzini_gsp adaaaa gemes
95,95.0,@ItuKutil diantos,Twitter for iPhone,0.0,0.0,itukutil diantos,"['itukutil', 'diantos']","['itukutil', 'diantos']",itukutil diantos
96,96.0,@rn_pstl Waktu itu ada yang bawa lightstick blackpink hmmm gpp mungkin dia pikir aku lisa,Twitter for iPhone,160.0,2.0,rn_pstl waktu itu ada yang bawa lightstick blackpink hmmm gpp mungkin dia pikir aku lisa,"['rn_pstl', 'waktu', 'itu', 'ada', 'yang', 'bawa', 'lightstick', 'blackpink', 'hmmm', 'gpp', 'mungkin', 'dia', 'pikir', 'aku', 'lisa']","['rn_pstl', 'waktu', 'itu', 'ada', 'yang', 'bawa', 'lightstick', 'blackpink', 'hmmm', 'gpp', 'mungkin', 'dia', 'pikir', 'aku', 'lisa']",rn_pstl waktu itu ada yang bawa lightstick blackpink hmmm gpp mungkin dia pikir aku lisa
97,97.0,Janji! Kita ketemu lagi besok di Bekasi. See you 🤍 https://t.co/1ePEQPPJr3,Twitter for iPhone,203.0,17.0,janji kita ketemu lagi besok di bekasi see you coepeqppjr,"['janji', 'kita', 'ketemu', 'lagi', 'besok', 'di', 'bekasi', 'see', 'you', 'coepeqppjr']","['janji', 'kita', 'ketemu', 'lagi', 'besok', 'di', 'bekasi', 'see', 'you', 'coepeqppjr']",janji kita ketemu lagi besok di bekasi see you coepeqppjr
98,98.0,Terpantau tidak ada yang aneh-aneh malam ini 😌 https://t.co/rGNQvFLsV4,Twitter for iPhone,2014.0,93.0,terpantau tidak ada yang aneh aneh malam ini corgnqvflsv,"['terpantau', 'tidak', 'ada', 'yang', 'aneh', 'aneh', 'malam', 'ini', 'corgnqvflsv']","['terpantau', 'tidak', 'ada', 'yang', 'aneh', 'aneh', 'malam', 'ini', 'corgnqvflsv']",terpantau tidak ada yang aneh aneh malam ini corgnqvflsv
99,99.0,Tenang tenang ubi (dance practice) https://t.co/yk3pFH4P8D,Twitter for iPhone,2691.0,359.0,tenang tenang ubi dance practice coykpfhpd,"['tenang', 'tenang', 'ubi', 'dance', 'practice', 'coykpfhpd']","['tenang', 'tenang', 'ubi', 'dance', 'practice', 'coykpfhpd']",tenang tenang ubi dance practice coykpfhpd
100,100.0,Maaf. Gini doang aku ngakak 😂 https://t.co/halGXkWbBM https://t.co/wUqEfDyxmJ,Twitter for iPhone,1067.0,92.0,maaf gini doang aku ngakak cohalg cowuqefdy,"['maaf', 'gini', 'doang', 'aku', 'ngakak', 'cohalg', 'cowuqefdy']","['maaf', 'gini', 'doang', 'aku', 'ngakak', 'cohalg', 'cowuqefdy']",maaf gini doang aku ngakak cohalg cowuqefdy
101,101.0,Kemarin malam ✨✨✨ https://t.co/FmtjdZdjfO,Twitter for iPhone,1666.0,95.0,kemarin malam cofmtjdzdjfo,"['kemarin', 'malam', 'cofmtjdzdjfo']","['kemarin', 'malam', 'cofmtjdzdjfo']",kemarin malam cofmtjdzdjfo
102,102.0,@Discoverskak Terheran heran 😂😂😂,Twitter for iPhone,381.0,7.0,discoverskak terheran heran,"['discoverskak', 'terheran', 'heran']","['discoverskak', 'terheran', 'heran']",discoverskak terheran heran
